	hashtag	time_(s)
2	#jetsupa	733
3	#janbnk48	733
4	#janchan	733
5	#bnk48	733
6	#cherprangbnk48	733
7	#jennisbnk48	733
8	#ornbnk48	733
9	#musicbnk48	733
10	#punbnk48	733
11	#mobilebnk48	733
12	#bnk48	733
13	#bnk48	733
14	#kimookbnk48rt	733
15	#เพลงหากิน	733
16	#bnk48	733
17	#janbnk48	733
18	#janchan	733
0	#punbnk48	743
1	#bnk48	743
2	#สามแยกปากหวาน	743
3	#musicbnk48	743
4	#bnk48	743
5	#mobilebnk48	743
6	#cherprangbnk48	743
7	#bnk48	743
8	#เพลงหากิน	743
9	#bnk48	743
10	#janbnk48	743
11	#janchan	743
12	#เพลงหากิน	743
13	#bnk48	743
14	#janbnk48	743
15	#janchan	743
16	#bnk48	743
17	#punbnk48	743
18	#สามแยกปากหวาน	743
19	#ninkbnk48	743
20	#bnk48	743
0	#bnk48	754
1	#punbnk48	754
2	#cherprangbnk48	754
3	#bnk48	754
4	#อ๊บนาน่า	754
5	#fujifilm	754
6	#xt20	754
7	#bnk48	754
8	#noeybnk48	754
9	#punbnk48	754
10	#panda48	754
11	#bnk48	754
12	#cherprangbnk48	754
13	#สามแยกปากหวาน	754
14	#janbnk48	754
15	#bnk48	754
0	#janbnk48	764
1	#janchan	764
2	#bnk48	764
3	#mobilebnk48	764
4	#cherprangbnk48	764
5	#bnk48	764
6	#punbnk48	764
7	#jennisbnk48	764
8	#bnk48	764
9	#bnk48	764
10	#ปัญเจนนิษฐ์	764
11	#punbnk48	764
12	#jennisbnk48	764
13	#bnk48	764
14	#bnk48	764
15	#punbnk48	764
16	#bnk48	764
17	#ornbnk48	764
18	#อรอุ๋ง	764
19	#bnk48	764
20	#เพลงหากิน	764
21	#bnk48	764
22	#janbnk48	764
23	#janchan	764
0	#bnk48	774
1	#canubemyvalentine	774
2	#canbnk48	774
3	#bnk48	774
4	#bnk48rt	774
5	#cherprangbnk48	774
6	#bnk48	774
7	#punbnk48	774
8	#bnk48	774
9	#เพลงหากิน	774
10	#bnk48	774
11	#janbnk48	774
12	#janchan	774
0	#mobilebnk48	784
1	#cherprangbnk48	784
2	#bnk48	784
3	#bnk48	784
4	#bnk48rt	784
5	#bnk48	784
6	#jennisbnk48	784
7	#punbnk48	784
8	#mobilebnk48	784
9	#musicbnk48	784
10	#cherpran…rt	784
11	#bnk48	784
12	#เพลงหากิน	784
13	#bnk48	784
14	#janbnk48	784
15	#janchan	784
16	#เฌอสิค	784
17	#bnk48	784
18	#cherprangbnk48	784
19	#musicbnk48	784
20	#punbnk48	784
21	#bnk48	784
22	#punbnk48	784
23	#jennisbnk48	784
24	#cherprangbnk48	784
25	#mobilebnk48	784
26	#musicbnk48	784
27	#ornbnk48	784
28	#true	784
0	#janchan…	794
1	#bnk48	794
2	#bnk48foundermember	794
3	#bnk48theater	794
4	#bnk48thecampus	794
5	#bnk481stc…rt	794
6	#bnk48	794
7	#truepoint	794
8	#bnk48xtrue	794
9	#trueyou	794
10	#tru…rt	794
11	#valentinemyoshi	794
12	#bnk48	794
13	#musicbnk48	794
14	#ornbnk48	794
15	#bnk48	794
16	#truepoint	794
17	#bnk48xtrue	794
18	#trueyou	794
19	#tru…rt	794
20	#ปัญเจนนิษฐ์	794
21	#myvatentine	794
22	#psksweetheart	794
23	#punbnk48	794
24	#jennisbn…rt	794
25	#bnk48	794
26	#musicbnk48	794
27	#bnk48	794
0	#punbnk48	805
1	#bnk48	805
2	#bnk48	805
3	#ornbnk48	805
4	#cherprangbnk48	805
5	#bnk48	805
6	#ปัญเจนนิษฐ์	805
7	#bnk48	805
8	#cherprangbnk48	805
9	#punbnk48	805
10	#musicbnk48	805
11	#mobilebnk48	805
12	#ornbnk48	805
13	#jennisbnk48	805
14	#bnk48	805
15	#bnk48	805
16	#punbnk48	805
17	#jennisbnk48	805
18	#kaimookbnk48	805
19	#cherprangbnk48	805
20	#jennisbnk48	805
21	#bnk48	805
0	#ornbnk48	815
1	#bnk48	815
2	#jennisbnk48	815
3	#bnk48	815
4	#เพลงหากิน	815
5	#bnk48	815
6	#janbnk48	815
7	#janchan	815
8	#เพลงหากิน	815
9	#bnk48	815
10	#janbnk48	815
11	#janchan	815
12	#bnk48	815
13	#punbnk48	815
14	#jennisbnk48	815
15	#kaimookbnk48	815
0	#jennisbnk48​	825
1	#bnk48	825
2	#วาเลนไทน์	825
3	#แคปเฌอ	825
4	#cherprangbnk48	825
5	#bnk48	825
6	#เฌอปราง	825
7	#myvalentine	825
8	#bnk48	825
9	#bnk48foundermember	825
10	#bnk48theater	825
11	#bnk48thecampus	825
12	#bnk481stc…rt	825
13	#bnk48	825
14	#truepoint	825
15	#bnk48xtrue	825
16	#trueyou	825
17	#tru…rt	825
18	#bnk48	825
19	#jennisbnk48	825
20	#น้ำหนึ่งเนย	825
21	#bnk48	825
22	#namneungbnk48	825
23	#noeybnk48	825
24	#bnk48	825
25	#bnk48foundermember	825
26	#bnk48theater	825
27	#bnk48thecampus	825
28	#bnk481stc…rt	825
29	#jennisbnk48	825
30	#bnk48	825
0	#เพลงหากิน	835
1	#bnk48	835
2	#janbnk48	835
3	#janchan	835
4	#cherprangbnk48	835
5	#punbnk48	835
6	#bnk48	835
7	#punbnk48	835
8	#bnk48	835
9	#punbnk48	835
10	#bnk48	835
11	#bnk48	835
12	#bnk48digital…rt	835
13	#cherprangbnk48	835
14	#mobilebnk48	835
15	#cherprangbnk48	835
16	#bnk48	835
0	#musicbnk48	845
1	#ornbnk48	845
2	#bnk48	845
3	#weloveyou28oshichallenge	845
4	#namsaibnk48	845
5	#cherprangbnk48	845
6	#bnk48	845
7	#bnk48	845
8	#bnk48foundermember	845
9	#bnk48theater	845
10	#bnk48thecampus	845
11	#bnk481stc…rt	845
12	#cherprangbnk48	845
13	#bnk48	845
0	#cherovalentine	855
1	#musicbnk48	855
2	#cherprangbnk48	855
3	#b…rt	855
4	#bnk48	855
5	#punbnk48	855
6	#cherprangbnk48	855
7	#bnk48	855
8	#cherprangbnk48	855
9	#namneungbnk48	855
10	#bnk48	855
11	#bnk48	855
12	#punbnk48	855
13	#punbnk48	855
14	#bnk48	855
15	#สามแยกปากหวาน	855
16	#kaewbnk48	855
17	#janbnk48	855
0	#แม้ว่าคนข้างๆจะคุยกันเสียงดังก็ตาม	866
1	#musicbnk48	866
2	#bnk48	866
3	#bnk48…rt	866
4	#bnk48	866
5	#bnk48	866
6	#mobilebnk48	866
7	#cherprangbnk48	866
8	#bnk48	866
9	#watercolor	866
10	#character	866
11	#illustration	866
12	#drawing	866
13	#girls	866
14	#bnk48	866
15	#comics	866
16	#couple	866
17	#janbnk48	866
18	#janchan	866
19	#bnk48	866
20	#bnk48	866
21	#bnk48	866
22	#cherprangbnk48	866
23	#namneungbnk48…rt	866
24	#punbnk48	866
25	#bnk48	866
26	#jennisbnk48	866
27	#punbnk48	866
28	#bnk48	866
29	#pockythailand	866
30	#punbnk48	866
31	#bnk48	866
32	#bnk48	866
33	#musicbnk48	866
34	#punbnk48	866
35	#cherprangbnk48	866
36	#jennisbnk48	866
37	#janebnk48	866
38	#punbnk48	866
39	#katebnk48	866
40	#bnk48	866
0	#cherprangbnk48	876
1	#musicbnk48	876
2	#punbnk48	876
3	#bnk48	876
4	#bnk48	876
5	#pockyletssayit	876
6	#นารา…	876
7	#เพลงหากิน	876
8	#bnk48	876
9	#janbnk48	876
10	#janchan	876
11	#pockythailand	876
12	#punbnk48	876
13	#bnk48	876
14	#mobilebnk48	876
15	#cherprangbnk48	876
16	#bnk48	876
0	#pockythailand	886
1	#punbnk48	886
2	#bnk48	886
3	#pockythailand	886
4	#punbnk48	886
5	#bnk48	886
6	#bnk48	886
7	#punbnk48	886
8	#jennisbnk48	886
9	#cherprangbnk48	886
10	#mobilebnk48	886
11	#musicbnk48	886
12	#ornbnk48	886
13	#true	886
14	#musicbnk48	886
15	#cherprangbnk48	886
16	#bnk48	886
17	#valentinemyoshi	886
18	#pockythailand	886
19	#punbnk48	886
20	#bnk48	886
21	#bnk48	886
22	#punbnk48	886
23	#jennisbnk48	886
24	#cherprangbnk48	886
25	#mobilebnk48	886
26	#musicbnk48	886
27	#ornbnk48	886
28	#true	886
29	#…rt	886
30	#bnk48	886
31	#cherprangbnk48	886
32	#bnk48	886
33	#pockythailand	886
34	#punbnk48	886
35	#bnk48	886
36	#bnk48	886
37	#truepoint	886
38	#bnk48xtrue	886
39	#trueyou	886
40	#tru…	886
0	#punbnk48	896
1	#bnk48	896
2	#pockyletsayit	896
3	#bnk48	896
4	#cherprangbnk48	896
5	#แก้วตาหวาน	896
6	#janbnk48	896
7	#janchan	896
8	#bnk48	896
9	#cherprangbnk48	896
10	#bnk48	896
11	#bnk48	896
12	#musicbnk48	896
13	#bnk48	896
14	#pockythailand	896
15	#punbnk48	896
16	#bnk48	896
17	#kornbnk48	896
18	#bnk48	896
19	#ใจรัก	896
20	#cherprangbnk48	896
21	#bnk48	896
22	#trueyou	896
23	#bnk48	896
0	#bnk48	906
1	#fungjai	906
2	#น้ำหนึ่งเนย	906
3	#bnk48	906
4	#namneungbnk48	906
5	#noeybnk48	906
6	#musicbnk48	906
7	#bnk48	906
8	#pockythailand	906
9	#punbnk48	906
10	#bnk48	906
11	#pockythailand	906
12	#punbnk48	906
13	#bnk48	906
14	#pockythailand	906
15	#punbnk48	906
16	#bnk48	906
17	#bnk48	906
18	#true…rt	906
19	#bnk48	906
0	#bnk48	917
1	#punbnk48	917
2	#jennisbnk48	917
3	#kaimookbnk48	917
4	#สันกรามพี่เฌอ	917
5	#bnk48	917
6	#cherprangbnk48	917
7	#bnk48อันนี้คือ	917
8	#bnk48…rt	917
9	#bnk48	917
10	#bnk48	917
11	#pockythailand	917
12	#punbnk48	917
13	#bnk48	917
14	#bnk48	917
15	#punbnk48	917
16	#jennisbnk48	917
17	#cherprangbnk48	917
18	#mobilebnk48	917
19	#musicbnk48	917
20	#ornbnk48	917
21	#true	917
0	#pockythailand	927
1	#punbnk48	927
2	#bnk48	927
3	#pockythailand	927
4	#punbnk48	927
5	#bnk48	927
6	#bnk48	927
0	#เฌอสิค	937
1	#valentinemyoshi	937
2	#cherprangbnk48	937
3	#musicbnk48	937
4	#bnk48	937
5	#พี่เฌอกับน้องสิค	937
6	#punbnk48	937
7	#bnk48	937
8	#bnk48	937
9	#mobilebnk48	937
10	#jennisbnk48	937
11	#musicbnk48	937
12	#punbnk48	937
13	#kaimookbnk48	937
14	#pupebnk48	937
15	#bnk48rt	937
16	#mobilebnk48	937
17	#cherprangbnk48	937
18	#bnk48	937
19	#bnk48	937
20	#tarwaanbnk48	937
21	#kaewbnk48	937
22	#ornbnk48	937
23	#namneungbnk48	937
24	#noeybnk48	937
25	#janbnk48	937
26	#bnk48	937
27	#ช…rt	937
28	#musicbnk48	937
29	#bnk48	937
0	#musicbnk48	947
1	#bnk48	947
2	#bnk48	947
3	#cherprangbnk48	947
4	#bnk48	947
0	#bnk48	957
1	#truepoint	957
2	#bnk48xtrue	957
3	#trueyou	957
4	#tru…rt	957
5	#pockythailand	957
6	#punbnk48	957
7	#bnk48	957
8	#เพลงหากิน	957
9	#bnk48	957
10	#janbnk48	957
11	#janchan	957
12	#bnk48	957
13	#bnk48fansongs	957
14	#satchanbnk48rt	957
15	#bnk48	957
0	#ปัญเจนนิษฐ์	968
1	#punbnk48	968
2	#jennisbnk48	968
3	#bnk48	968
4	#cherprangbnk48	968
5	#punbnk48	968
6	#musicbnk48	968
7	#mobilebnk48	968
8	#ornbnk48	968
9	#jennisbnk…เสียงมาจาก	968
10	#bnk48rt	968
11	#อรอุ๋ง	968
12	#ornbnk48	968
13	#bnk48	968
14	#เพลงหากิน	968
15	#bnk48	968
16	#janbnk48	968
17	#janchan	968
18	#bnk48	968
19	#punbnk48	968
20	#bnk48	968
21	#jennisbnk48	968
22	#pockythailand	968
23	#punbnk48	968
24	#bnk48	968
0	#bnk48	978
1	#jennisbnk48	978
2	#bnk48	978
3	#bnk48	978
4	#tarwaanb…rt	978
5	#punbnk48	978
6	#bnk48	978
7	#คลิปที่สนาม…rt	978
8	#musicbnk48	978
9	#bnk48	978
10	#janbnk48	978
11	#janchan	978
12	#bnk48	978
13	#pockythailand	978
14	#punbnk48	978
15	#bnk48	978
16	#bnk48	978
17	#bnk48	978
18	#janbnk48	978
19	#janchan	978
20	#1stanniversarybnk48	978
21	#bnk48	978
22	#satchanbnk48	978
23	#さっちゃんbnk48	978
24	#friendlysaturn	978
0	#bnk48…rt	988
1	#bnk48	988
2	#punbnk48	988
3	#bnk48	988
4	#cherprangbnk48	988
5	#cherprangbnk48	988
6	#ornbnk48	988
0	#musicbnk48	998
1	#bnk48	998
0	#pockythailand	1008
1	#punbnk48	1008
2	#bnk48	1008
3	#musicbnk48	1008
4	#bnk48	1008
5	#pockythailand	1008
6	#punbnk48	1008
7	#bnk48	1008
8	#pockythailand	1008
9	#punbnk48	1008
10	#bnk48	1008
11	#bnk48	1008
12	#ornbnk48	1008
13	#kateb…rt	1008
14	#punbnk48	1008
15	#bnk48	1008
16	#bnk48	1008
17	#musicbnk48	1008
18	#bnk48	1008
19	#musicbnk48	1008
20	#bnk…rt	1008
21	#cherprangbnk48	1008
22	#bnk48	1008
23	#valentinemyoshi	1008
24	#musicbnk48	1008
25	#cherprangbnk48	1008
26	#bnk48	1008
27	#valentinemyoshi	1008
28	#izurinabnk48	1008
29	#ornbnk48	1008
30	#tarwaanbnk48	1008
31	#cherpra…rt	1008
32	#punbnk48	1008
33	#bnk48	1008
34	#คลิปที่สนาม…	1008
0	#punbnk48	1019
1	#bnk48	1019
2	#pockythailand	1019
3	#punbnk48	1019
4	#bnk48	1019
5	#mobilebnk48	1019
6	#punbnk48	1019
7	#jennisbnk48	1019
8	#ornbnk48	1019
9	#cherprangbnk48	1019
10	#musicbnk4…rt	1019
11	#punbnk48	1019
12	#bnk48	1019
13	#pockythailand	1019
14	#punbnk48	1019
15	#bnk48	1019
16	#pockythailand	1019
17	#punbnk48	1019
18	#bnk48	1019
19	#jennisbnk48	1019
20	#bnk48	1019
21	#cherprangbnk48	1019
22	#bnk48	1019
23	#เพลงหากิน	1019
24	#bnk48	1019
25	#janbnk48	1019
26	#janchan	1019
27	#สังคมแฟนคลับคุณภาพ	1019
28	#bnk48…rt	1019
29	#cherprangbnk48	1019
30	#bnk48	1019
0	#mobilebnk48	1029
1	#punbnk48	1029
2	#jennisbnk48	1029
3	#ornbnk48	1029
4	#cherprangbnk48	1029
5	#musicbnk4…ใครหนีแฟนมาตามน้อง	1029
6	#bnk48นี่ฉลามมมมมมมม	1029
7	#punbnk48	1029
8	#bnk48	1029
9	#punbnk48	1029
10	#bnk48	1029
11	#คลิปที่สนาม…rt	1029
12	#bnk48	1029
13	#punbnk48	1029
14	#jennisbnk48	1029
15	#mobilebnk48	1029
16	#musicbnk48	1029
17	#cherprangbnk48	1029
18	#ornbnk48	1029
19	#bnk48…rt	1029
20	#เฌอสิค	1029
21	#bnk48	1029
22	#cherprangbnk48	1029
23	#musicbnk48	1029
24	#punbnk48	1029
25	#punbnk48	1029
26	#bnk48	1029
27	#punbnk48	1029
28	#bnk48	1029
29	#bnk48	1029
30	#punbnk48	1029
0	#mobilebnk48	1039
1	#cherprangbnk48	1039
2	#bnk48	1039
3	#punbnk48	1039
4	#bnk48	1039
5	#punbnk48	1039
6	#bnk48	1039
7	#pockyletsayit	1039
8	#bnk48	1039
9	#punbnk48	1039
10	#jennisbnk48	1039
11	#kaimookbnk48	1039
12	#musicbnk48	1039
13	#bnk48	1039
14	#bnk48	1039
15	#punbnk48	1039
16	#jennisbnk48	1039
17	#cherprangbnk48	1039
18	#mobilebnk48	1039
19	#musicbnk48	1039
20	#ornbnk48	1039
21	#true	1039
22	#bnk48rt	1039
0	#bnk48	1049
1	#truepoint	1049
2	#bnk48xtrue	1049
3	#trueyou	1049
4	#tru…rt	1049
5	#pockythailand	1049
6	#punbnk48	1049
7	#bnk48	1049
8	#bnk48	1049
9	#pupebnk48	1049
10	#musicbnk48	1049
11	#punbnk48	1049
12	#jennisbnk48	1049
13	#kaimookbnk48	1049
14	#mobilebnk48…rt	1049
15	#pockythailand	1049
16	#punbnk48	1049
17	#bnk48	1049
18	#thetoys	1049
19	#boypeacemaker	1049
20	#maxjenmana	1049
21	#punbnk48	1049
22	#bnk48	1049
23	#punbnk48	1049
24	#bnk48	1049
25	#bnk48	1049
26	#mymilintine	1049
27	#namneungbnk48	1049
28	#bnk48	1049
0	#musicbnk48	1059
1	#bnk48	1059
2	#เพลงหากิน	1059
3	#bnk48	1059
4	#janbnk48	1059
5	#janchan	1059
6	#bnk48	1059
7	#truepoint	1059
8	#bnk48xtrue	1059
9	#trueyou	1059
10	#tru…rt	1059
11	#bnk48	1059
12	#punbnk48	1059
13	#jennisbnk48	1059
14	#cherprangbnk48	1059
15	#mobilebnk48	1059
16	#musicbnk48	1059
17	#ornbnk48	1059
18	#true	1059
19	#เพลงหากิน	1059
20	#bnk48	1059
21	#janbnk48	1059
22	#janchan	1059
23	#bnk48	1059
24	#ornbnk48	1059
25	#mobilebnk48	1059
26	#bnk48	1059
27	#truepoint	1059
28	#bnk48xtrue	1059
29	#trueyou	1059
30	#tru…rt	1059
31	#bnk48	1059
32	#truepoint	1059
33	#bnk48	1059
0	#cherprangbnk48	1069
1	#cherprangbnk48	1069
2	#punbnk48	1069
3	#bnk48	1069
4	#punbnk48	1069
5	#katebnk48	1069
6	#bnk48	1069
7	#janbnk48	1069
8	#bnk48rt	1069
9	#bnk48	1069
10	#musicbnk48	1069
0	#bnk48	1080
1	#janbnk48	1080
2	#janchan	1080
3	#bnk48	1080
4	#ninkbnk48	1080
5	#bnk48	1080
6	#bnk48	1080
7	#truepoint	1080
8	#bnk48xtrue	1080
9	#trueyou	1080
10	#tru…	1080
0	#bnk48	1090
1	#cherprangbnk48	1090
2	#musicbnk48	1090
3	#เพลงหากิน	1090
4	#bnk48	1090
5	#janbnk48	1090
6	#janchan	1090
7	#musicbnk48	1090
8	#bnk48	1090
9	#kornbnk48	1090
10	#tarwaanbnk48	1090
11	#pupebnk48	1090
12	#musicbnk48	1090
13	#jibbnk48	1090
14	#ninkb…rt	1090
15	#cherprangbnk48	1090
16	#bnk48	1090
17	#cherprangbnk48	1090
0	#punbnk48	1100
1	#bnk48	1100
2	#bnk48	1100
3	#musicbnk48	1100
4	#cherprangbnk48	1100
5	#bnk48	1100
6	#valentinemyoshi	1100
7	#jennisbnk48	1100
8	#bnk48	1100
9	#cherprangbnk48	1100
10	#musicbnk48	1100
11	#punbnk48	1100
12	#bnk48	1100
13	#musicbnk48	1100
14	#bnk48	1100
15	#cherprangbnk48	1100
16	#bnk48	1100
17	#bnk48	1100
18	#punbnk48	1100
19	#jennisbnk48	1100
20	#bnk48	1100
21	#satchanbnk48	1100
22	#bnk48	1100
23	#cherprangbnk48	1100
24	#ornbnk48	1100
25	#bnk48	1100
26	#punbnk48	1100
27	#jennisbnk48	1100
28	#mobilebnk48	1100
29	#musicbnk48	1100
30	#cherprangbnk48	1100
31	#ornbnk48	1100
32	#bnk48	1100
33	#punbnk48	1100
34	#แม้ว่าคนข้างๆจะคุยกันเสียงดังก็ตาม	1100
35	#musicbnk48	1100
36	#bnk48	1100
0	#bnk48…rt	1110
1	#pockythailand	1110
2	#punbnk48	1110
3	#bnk48	1110
4	#pockythailand	1110
5	#punbnk48	1110
6	#bnk48	1110
7	#musicbnk48	1110
8	#bnk48rt	1110
9	#bnk48	1110
10	#cherprangbnk48	1110
11	#bnk48	1110
12	#punbnk48	1110
13	#bnk48	1110
14	#punbnk48	1110
15	#musicbnk48	1110
16	#cherprangbnk48	1110
17	#bnk48	1110
18	#valentinemyoshi	1110
19	#cherprangbnk48	1110
20	#punbnk48	1110
21	#musicbnk48	1110
22	#mobilebnk48	1110
23	#ornbnk48	1110
24	#jennisbnk…rt	1110
0	#bnk48	1120
1	#punbnk48	1120
2	#jennisbnk48	1120
3	#cherprangbnk48	1120
4	#mobilebnk48	1120
5	#musicbnk48	1120
6	#ornbnk48	1120
7	#true	1120
8	#1stanniversarybnk48	1120
9	#satchanbnk48	1120
10	#bnk48	1120
11	#friendlysaturn	1120
12	#เฌอสิค	1120
13	#bnk48	1120
14	#cherprangbnk48	1120
15	#musicbnk48	1120
16	#punbnk48	1120
17	#punbnk48	1120
18	#bnk48	1120
19	#สามแยกปากหวาน	1120
20	#bnk48	1120
21	#bnk48foundermember	1120
22	#bnk48theater	1120
23	#bnk48thecampus	1120
24	#bnk481stc…rt	1120
25	#bnk48	1120
26	#เดลินิวส์	1120
27	#punbnk48	1120
28	#bnk48	1120
29	#punbnk48	1120
30	#bnk48	1120
0	#punbnk48	1131
1	#bnk48	1131
2	#jennisbnk48	1131
3	#bnk48	1131
4	#punbnk48	1131
5	#bnk48	1131
6	#bnk48	1131
7	#bnk48	1131
8	#punbnk48	1131
9	#bnk48	1131
10	#punbnk48	1131
11	#jennisbnk48	1131
12	#pupebnk48	1131
13	#kaimookbnk48	1131
14	#musicb…rt	1131
15	#เฌอสิค	1131
16	#bnk48	1131
17	#cherprangbnk48	1131
18	#musicbnk48	1131
19	#punbnk48	1131
0	#bnk48	1141
1	#pupebnk48	1141
2	#musicbnk48	1141
3	#punbnk48	1141
4	#jennisbnk48	1141
5	#kaimookbnk48	1141
6	#mobilebnk48…rt	1141
7	#bnk48	1141
8	#bnk48foundermember	1141
9	#bnk48theater	1141
10	#bnk48thecampus	1141
11	#bnk481stc…rt	1141
12	#pockythailand	1141
13	#punbnk48	1141
14	#bnk48	1141
15	#bnk48	1141
16	#punbnk48	1141
17	#bnk48	1141
18	#pockythailand	1141
19	#punbnk48	1141
20	#bnk48	1141
0	#เฌอสิค	1151
1	#bnk48	1151
2	#cherprangbnk48	1151
3	#musicbnk48	1151
4	#punbnk48	1151
5	#bnk48	1151
6	#pockyletssayit	1151
7	#นารา	1151
8	#punbnk48	1151
9	#bnk48	1151
10	#bnk48	1151
11	#cherprangbnk48	1151
12	#bnk48	1151
13	#pockythailand	1151
14	#punbnk48	1151
15	#bnk48	1151
16	#punbnk48	1151
17	#jennisbnk48	1151
18	#mobilebnk48	1151
19	#bnk48	1151
20	#bnk48	1151
21	#punbnk48	1151
22	#mobilebnk48	1151
23	#mindbnk48	1151
24	#bnk48	1151
25	#punbnk48	1151
26	#katebnk48	1151
27	#ornbnk48	1151
28	#cherprangbnk48	1151
29	#bnk48	1151
30	#bnk48	1151
31	#bnk48foundermember	1151
32	#bnk48theater	1151
33	#bnk48thecampus	1151
34	#bnk481stc…rt	1151
35	#bnk48	1151
36	#truepoint	1151
37	#bnk48xtrue	1151
38	#trueyou	1151
39	#tru…rt	1151
40	#punbnk48	1151
41	#bnk48	1151
42	#janbnk48	1151
43	#janchan	1151
44	#bnk48	1151
0	#cherprangbnk48	1161
1	#bnk48	1161
2	#punbnk48	1161
3	#bnk48	1161
4	#เพลงหากิน	1161
5	#bnk48	1161
6	#janbnk48	1161
7	#janchan	1161
8	#bnk48rt	1161
9	#bnk48	1161
10	#bnk48	1161
11	#punbnk48	1161
12	#mobilebnk48	1161
13	#cherprangbnk48	1161
14	#bnk48	1161
15	#bnk48	1161
16	#วาเลนไทน์	1161
17	#แคปเฌอ	1161
18	#cherprangbnk48	1161
19	#bnk48	1161
20	#เฌอปราง	1161
21	#myvalentine	1161
0	#cherprangbnk48	1171
1	#bnk48	1171
2	#สามแยกปากหวาน	1171
3	#bnk48	1171
4	#cherprangbnk48	1171
5	#punbnk48	1171
6	#bnk48	1171
7	#bnk48	1171
8	#cherprangbnk48	1171
9	#bnk48sweetcall	1171
10	#bnk48	1171
11	#cherprangbnk48	1171
12	#bnk48	1171
13	#punbnk48	1171
14	#bnk48	1171
0	#bnk48	1182
1	#maysabnk48	1182
2	#cherprangbnk48	1182
3	#punbnk48	1182
4	#musicbnk48	1182
5	#mobilebnk48	1182
6	#ornbnk48	1182
7	#jennisbnk…rt	1182
8	#bnk48	1182
9	#truepoint	1182
10	#bnk48xtrue	1182
11	#trueyou	1182
12	#tru…rt	1182
13	#ornbnk48	1182
14	#bnk48sweetcall	1182
15	#bnk48	1182
16	#punbnk48	1182
17	#bnk48	1182
18	#musicbnk48	1182
19	#cherprangbnk48	1182
20	#bnk48	1182
21	#valentinemyoshi	1182
22	#bnk48rt	1182
23	#musicbnk48	1182
24	#bnk48rt	1182
25	#bnk48	1182
26	#punbnk4…rt	1182
27	#cherprangbnk48	1182
28	#bnk48	1182
29	#สามแยกปากหวาน	1182
30	#ปล่อย	1182
31	#bnk48	1182
0	#punbnk48	1192
1	#bnk48	1192
2	#punbnk48	1192
3	#bnk48	1192
4	#izutarinabnk48	1192
5	#izurin…rt	1192
6	#punbnk48	1192
7	#bnk48	1192
8	#bnk48	1192
9	#เดลินิวส์	1192
10	#bnk48	1192
11	#punbnk48	1192
12	#jennisbnk48	1192
13	#cherprangbnk48	1192
14	#mobilebnk48	1192
15	#musicbnk48	1192
16	#ornbnk48	1192
17	#true	1192
18	#jennisbnk48	1192
19	#bnk48	1192
20	#เพลงหากิน	1192
21	#bnk48	1192
22	#janbnk48	1192
23	#janchan	1192
0	#jennisbnk48	1202
1	#punbnk48	1202
2	#bnk48	1202
3	#musicbnk48	1202
4	#bnk48	1202
5	#jennisbnk48	1202
6	#bnk48	1202
7	#bnk48	1202
8	#punbnk48	1202
9	#katebnk48	1202
10	#musicbnk48	1202
11	#bnk…rt	1202
12	#bnk48	1202
13	#musicbnk48	1202
14	#punbnk48	1202
15	#cherprangbnk48	1202
16	#jennisbnk48	1202
17	#punbnk48	1202
18	#bnk48	1202
19	#talkwithtoey	1202
20	#bnk48	1202
21	#punbnk48	1202
22	#bnk48	1202
0	#bnk48	1212
1	#punbnk48	1212
2	#jennisbnk48	1212
3	#punbnk48	1212
4	#bnk48	1212
5	#bnk48	1212
6	#bnk48	1212
7	#musicbnk48	1212
8	#bnk48	1212
9	#punbnk48	1212
10	#katebnk48	1212
11	#mobilebnk48	1212
12	#punbnk48	1212
13	#jennisbnk48	1212
14	#ornbnk48	1212
15	#cherprangbnk48	1212
16	#musicbnk4…rt	1212
17	#punbnk48	1212
18	#jennisbnk48	1212
19	#mobilebnk48	1212
20	#bnk48	1212
21	#pockythailand	1212
22	#punbnk48	1212
23	#bnk48	1212
24	#เพลงหากิน	1212
25	#bnk48	1212
26	#janbnk48	1212
27	#janchan	1212
28	#jennisbnk48	1212
29	#bnk48	1212
0	#bnk48	1222
1	#punbnk48	1222
2	#เพลงหากิน	1222
3	#bnk48	1222
4	#janbnk48	1222
5	#janchan	1222
6	#jennisbnk48	1222
7	#janebnk48	1222
8	#bnk48	1222
9	#bnk48	1222
10	#cherprangbnk48	1222
11	#bnk48	1222
12	#musicbnk48	1222
13	#punbnk48	1222
14	#bnk48	1222
15	#punbnk48	1222
16	#bnk48	1222
17	#เดลินิวส์	1222
18	#punbnk48	1222
19	#bnk48	1222
20	#cherovalentine	1222
21	#musicbnk48	1222
22	#cherprangbnk48	1222
23	#b…rt	1222
24	#punbnk48	1222
25	#mobilebnk48	1222
26	#cherprangbnk48	1222
27	#bnk48	1222
28	#pockythailand	1222
29	#punbnk48	1222
30	#bnk48	1222
31	#คุกกี้เสี่ยงทาย	1222
32	#bnk48	1222
0	#mobilebnk48	1233
1	#punbnk48	1233
2	#jennisbnk48	1233
3	#ornbnk48	1233
4	#cherprangbnk48	1233
5	#musicbnk4…rt	1233
6	#cherprangbnk48	1233
7	#bnk48	1233
8	#bnk48rt	1233
9	#bnk48	1233
10	#janbnk48…คุณเฌอคนเก่งงง	1233
11	#cherprangbnk48	1233
12	#bnk48	1233
0	#bnk48	1243
